预算货币,广告主账户 ID,广告主账户名称,广告组合编号,广告组合名称,广告活动编号,广告活动名称,广告组编号,广告组名称,搜索词,日期,投放方案编号,目标竞价,投放类型,投放状态,投放方案,投放匹配类型-Targeting match type,展示量,点击量,点击率,总成本,购买量,销售额,已售商品数量,单次购买成本,购买率,ROAS,推广商品的购买量,推广商品的销量,已售商品数量（推广）,推广商品的每次购买费用,购买率（推广的商品）,推广商品的 ROAS,购买量（光环）,销售额（光环）,已售商品数量（光环）,购买量（品牌新客）,销售额（品牌新客）,已售商品数量（品牌新客）,每次购买成本（品牌新客）,购买率（品牌新客）,ROAS（品牌新客）,商品详情页浏览量,单次商品详情页浏览成本,商品详情页浏览率
USD,"=""amzn1.ads-account.g.c04uxybpemjiyytqk37mwbvns""",YTDBNS,177169599108091,005,"=""108748301332024""",YS005-At-Ks-0611,"=""474054107145274""",YS005-At-Ks-0611,eyeglasses,2026年6月25日,442451552344752,0.96,,ENABLED,loose-match,TARGETING_EXPRESSION_PREDEFINED,423,3,0.7092%,4.11,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,,,,,,,,
USD,"=""amzn1.ads-account.g.c04uxybpemjiyytqk37mwbvns""",YTDBNS,177169599108091,005,"=""108748301332024""",YS005-At-Ks-0611,"=""474054107145274""",YS005-At-Ks-0611,1.50 reading glasses women,2026年6月23日,442451552344752,0.96,,ENABLED,loose-match,TARGETING_EXPRESSION_PREDEFINED,48,1,2.0833%,1.00,1,16.69,1,1.00000,2.0833%,16.69000,1,16.69,1,1.00000,2.0833%,16.69000,0,0.00,0,,,,,,,,,
USD,"=""amzn1.ads-account.g.c04uxybpemjiyytqk37mwbvns""",YTDBNS,166378995850543,004,"=""51271414889828""",YS004-At-Ks-0611,"=""367884236743334""",YS004-At-Ks-0611,reading glasses +4.0 for men,2026年6月23日,322709980377937,1.02,,PAUSED,loose-match,TARGETING_EXPRESSION_PREDEFINED,1,1,100.0000%,1.02,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,,,,,,,,
USD,"=""amzn1.ads-account.g.c04uxybpemjiyytqk37mwbvns""",YTDBNS,199043146054964,012,"=""227816548911392""",YS012-Jz-0525,"=""204660268965707""",YS012-Jz-0525,women's reading glasses,2026年6月2日,189544947187764,1.03,,ENABLED,womens reading glasses,EXACT,292,3,1.0274%,3.01,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,,,,,,,,
USD,"=""amzn1.ads-account.g.c04uxybpemjiyytqk37mwbvns""",YTDBNS,177169599108091,005,"=""199775413572948""",YS005-Tldx-0611,"=""269304898602906""",YS005-Tldx-0611,B0CD6Y8NDJ,2026年6月21日,88778445370243,1.15,rsf,ENABLED,"asin-expanded=""B0BVYQ2CG5""",TARGETING_EXPRESSION,147,1,0.6803%,1.04,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,,,,,,,,
USD,"=""amzn1.ads-account.g.c04uxybpemjiyytqk37mwbvns""",YTDBNS,177169599108091,005,"=""35082125989685""",YS005-At-Ks-0603,"=""382705204368652""",YS005-At-Ks-0528,pioneer woman blue light glasses,2026年6月4日,314246449598893,0.98,,ENABLED,loose-match,TARGETING_EXPRESSION_PREDEFINED,1,1,100.0000%,1.17,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,,,,,,,,
USD,"=""amzn1.ads-account.g.c04uxybpemjiyytqk37mwbvns""",YTDBNS,247354926620656,捡漏,"=""124511426441881""",XY20260609,"=""311358524358477""",XY20260609,off to cause a kerfuffle shirt funny raccoon t-shirt off to cause a kerfuffle opossum t-shirt for women men,2026年6月15日,375384227884067,0.12,,ENABLED,close-match,TARGETING_EXPRESSION_PREDEFINED,1,1,100.0000%,0.09,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,,,,,,,,
USD,"=""amzn1.ads-account.g.c04uxybpemjiyytqk37mwbvns""",YTDBNS,199043146054964,012,"=""47015924694476""",YS012-At-Ks-0611,"=""477310416247367""",YS012-At-Ks-0611,glasses readers 2.5,2026年6月17日,415240871638877,0.74,,ENABLED,loose-match,TARGETING_EXPRESSION_PREDEFINED,2,1,50.0000%,0.69,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,,,,,,,,
USD,"=""amzn1.ads-account.g.c04uxybpemjiyytqk37mwbvns""",YTDBNS,177169599108091,005,"=""108748301332024""",YS005-At-Ks-0611,"=""474054107145274""",YS005-At-Ks-0611,reading glasses women 2.0+,2026年6月29日,442451552344752,0.96,,ENABLED,loose-match,TARGETING_EXPRESSION_PREDEFINED,19,1,5.2632%,0.95,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,,,,,,,,
USD,"=""amzn1.ads-account.g.c04uxybpemjiyytqk37mwbvns""",YTDBNS,165465258546951,009,"=""250740163806749""",YS009-At-Ks-0611,"=""314055689483371""",YS009-At-Ks-0611,fun reading glasses for men,2026年6月16日,285352555222250,0.66,,ENABLED,loose-match,TARGETING_EXPRESSION_PREDEFINED,6,1,16.6667%,0.82,1,17.99,1,0.82000,16.6667%,21.93902,1,17.99,1,0.82000,16.6667%,21.93902,0,0.00,0,,,,,,,,,
